series_info_id,date,region,sub_region,facility_size,turbine_nameplate_capacity,rotor_diameter,tower_height,drive_train,forecast_type,cost_element_category,cost_element_subcategory,dollars_per_mw
10,2023Q4,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,742711.88452
10,2024Q1,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,747097.44944
10,2024Q2,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,752512.70849
10,2024Q3,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,756404.55856
10,2024Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,757328.5878399999
10,2025Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,769719.23416
10,2026Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,785184.05387
10,2027Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,808077.24621
10,2028Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,C.) 90-100 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,834578.27307
11,2023Q4,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,B.) 81-90 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,742711.88452
11,2024Q1,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,B.) 81-90 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,747097.44944
11,2024Q2,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,B.) 81-90 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,752512.70849
11,2024Q3,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,B.) 81-90 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,756404.55856
